,Date of 8-day Window,"Centroid of Selection (Lat,Lon)",Number of Pixels,Average AOD,5% Percentile AOD,50% Percentile (Median) AOD,95% Percentile AOD,Percent of Pixels with no Data
0,2012-06-18,"26.63, 86.73",100,,,,,100.0
0,2012-06-26,"26.63, 86.73",100,0.7133433,0.4606299102306366,0.6889764070510864,1.0,63.0
0,2012-07-04,"26.63, 86.73",100,,,,,100.0
0,2012-07-12,"26.63, 86.73",100,,,,,100.0
0,2012-07-20,"26.63, 86.73",100,,,,,100.0
0,2012-07-20,"26.63, 86.73",100,,,,,100.0
0,2012-07-28,"26.63, 86.73",100,,,,,100.0
0,2012-08-05,"26.63, 86.73",100,,,,,100.0
0,2012-08-13,"26.63, 86.73",100,,,,,100.0
0,2012-08-21,"26.63, 86.73",100,0.23917323,0.23346456214785577,0.24015748500823975,0.24350394010543824,96.0
0,2012-08-29,"26.63, 86.73",100,0.14247048,0.08877952992916108,0.12992125749588013,0.23149606361985206,68.0
0,2012-09-06,"26.63, 86.73",100,0.16912016,0.06496063061058521,0.14960630238056183,0.28248032182455063,54.0
0,2012-09-14,"26.63, 86.73",100,,,,,100.0
0,2012-09-14,"26.63, 86.73",100,,,,,100.0
0,2012-09-22,"26.63, 86.73",100,0.46954393,0.22440944612026215,0.4409448802471161,0.725984263420105,47.0
0,2012-09-30,"26.63, 86.73",100,0.5848792,0.27440943717956545,0.5787401795387268,1.0,41.0
0,2012-10-08,"26.63, 86.73",100,0.38674363,0.11102362126111984,0.4055117964744568,0.7141732335090621,27.0
0,2012-10-16,"26.63, 86.73",100,0.40919754,0.20334645882248878,0.42716535925865173,0.586614191532135,6.0
0,2012-10-24,"26.63, 86.73",100,0.23440947,0.10629921406507492,0.25,0.3700787425041199,0.0
0,2012-11-01,"26.63, 86.73",100,0.22358268,0.0824803128838539,0.2263779491186142,0.4057086482644081,0.0
0,2012-11-09,"26.63, 86.73",100,0.4840945,0.12185039520263671,0.49409449100494385,1.0,0.0
0,2012-11-09,"26.63, 86.73",100,0.4840945,0.12185039520263671,0.49409449100494385,1.0,0.0
0,2012-11-17,"26.63, 86.73",100,0.23165356,0.06299212574958801,0.21653543412685394,0.4844488263130188,0.0
0,2012-11-25,"26.63, 86.73",100,0.5278432,0.2590551137924194,0.539370059967041,0.7748031377792357,3.0
0,2012-12-03,"26.63, 86.73",100,0.46935627,0.16141732037067413,0.5039370059967041,0.7511811017990111,3.0
0,2012-12-11,"26.63, 86.73",100,0.60017,0.11948819160461426,0.6122047305107117,1.0,12.0
0,2012-12-19,"26.63, 86.73",100,0.31115484,0.10137795582413674,0.26377952098846436,0.634645664691925,40.0
0,2012-12-27,"26.63, 86.73",100,0.20511255,0.07874015718698502,0.16929133236408234,0.42322835326194763,29.0
0,2013-01-01,"26.63, 86.73",100,0.41642419,0.10236220806837082,0.4094488322734833,1.0,8.0
0,2013-01-09,"26.63, 86.73",100,0.6355754,0.26889762878417967,0.6279527544975281,1.0,6.0
0,2013-01-17,"26.63, 86.73",100,0.49123308,0.18818897604942322,0.5826771855354309,0.7598425149917603,3.0
0,2013-01-25,"26.63, 86.73",100,0.4207728,0.14566929638385773,0.4133858382701874,0.7984251737594603,3.0
0,2013-01-25,"26.63, 86.73",100,0.4207728,0.14566929638385773,0.4133858382701874,0.7984251737594603,3.0
0,2013-02-02,"26.63, 86.73",100,0.30875558,0.10629921406507492,0.344488188624382,0.5074803113937378,8.0
0,2013-02-10,"26.63, 86.73",100,0.3630315,0.11791338883340359,0.3799212574958801,0.5748031735420227,0.0
0,2013-02-18,"26.63, 86.73",100,0.2907874,0.07480315119028091,0.2933070957660675,0.5236220359802246,0.0
0,2013-02-26,"26.63, 86.73",100,0.5578346,0.26377952098846436,0.625984251499176,0.7999999791383743,0.0
0,2013-03-06,"26.63, 86.73",100,0.5805118,0.19271653294563293,0.6555117964744568,0.8509842634201049,0.0
0,2013-03-14,"26.63, 86.73",100,0.5563614,0.2618110179901123,0.5669291615486145,0.8342519879341125,5.0
0,2013-03-22,"26.63, 86.73",100,0.3696369,0.21259842813014984,0.36220473051071167,0.5092519640922544,2.0
0,2013-03-22,"26.63, 86.73",100,0.3696369,0.21259842813014984,0.36220473051071167,0.5092519640922544,2.0
0,2013-03-30,"26.63, 86.73",100,0.45011806,0.30314961075782776,0.41535434126853943,0.6901575088500976,0.0
0,2013-04-07,"26.63, 86.73",100,0.5710236,0.47165355533361436,0.5590550899505615,0.6773621797561645,0.0
0,2013-04-15,"26.63, 86.73",100,0.61696196,0.2592519745230675,0.5984252095222473,1.0,52.0
0,2013-04-23,"26.63, 86.73",100,0.80355346,0.24330708980560303,0.8937007784843445,1.0,61.0
0,2013-05-01,"26.63, 86.73",100,0.3259842,0.12578740119934081,0.25984251499176025,0.6875983983278273,40.0
0,2013-05-09,"26.63, 86.73",100,0.43736583,0.09842519462108612,0.4251968562602997,0.840551197528839,1.0
0,2013-05-17,"26.63, 86.73",100,0.8149606,0.4960629940032959,0.8267716765403748,1.0,69.0
0,2013-05-17,"26.63, 86.73",100,0.8149606,0.4960629940032959,0.8267716765403748,1.0,69.0
0,2013-05-25,"26.63, 86.73",100,0.31889763,0.31889763474464417,0.31889763474464417,0.31889763474464417,99.0
0,2013-06-02,"26.63, 86.73",100,0.8387899,0.6015748143196106,0.8582677245140076,1.0,43.0
0,2013-06-10,"26.63, 86.73",100,0.5181102,0.3444881871342659,0.47047244012355804,0.8511810928583141,90.0
0,2013-06-18,"26.63, 86.73",100,,,,,100.0
0,2013-06-26,"26.63, 86.73",100,,,,,100.0
0,2013-07-04,"26.63, 86.73",100,,,,,100.0
0,2013-07-12,"26.63, 86.73",100,,,,,100.0
0,2013-07-12,"26.63, 86.73",100,,,,,100.0
0,2013-07-20,"26.63, 86.73",100,,,,,100.0
0,2013-07-28,"26.63, 86.73",100,,,,,100.0
0,2013-08-05,"26.63, 86.73",100,,,,,100.0
0,2013-08-13,"26.63, 86.73",100,,,,,100.0
0,2013-08-21,"26.63, 86.73",100,,,,,100.0
0,2013-08-29,"26.63, 86.73",100,,,,,100.0
0,2013-09-06,"26.63, 86.73",100,0.73779523,0.37716535329818723,0.7755905389785767,0.9962598443031311,80.0
0,2013-09-06,"26.63, 86.73",100,0.73779523,0.37716535329818723,0.7755905389785767,0.9962598443031311,80.0
0,2013-09-14,"26.63, 86.73",100,0.16129556,0.07480314970016481,0.16535432636737823,0.25275590419769284,3.0
0,2013-09-22,"26.63, 86.73",100,0.53543305,0.5354330539703369,0.5354330539703369,0.5354330539703369,99.0
0,2013-09-30,"26.63, 86.73",100,,,,,100.0
0,2013-10-08,"26.63, 86.73",100,0.13303149,0.05885826926678419,0.14173229038715363,0.20511811673641203,0.0
0,2013-10-16,"26.63, 86.73",100,0.327246,0.09094488322734832,0.3385826647281647,0.5228346347808838,17.0
0,2013-10-24,"26.63, 86.73",100,0.683828,0.19389763474464417,0.7224409580230713,1.0,22.0
0,2013-11-01,"26.63, 86.73",100,0.40425196,0.15354330837726593,0.3858267664909363,0.6976378202438354,0.0
0,2013-11-01,"26.63, 86.73",100,0.40425196,0.15354330837726593,0.3858267664909363,0.6976378202438354,0.0
0,2013-11-09,"26.63, 86.73",100,0.16976377,0.05511811003088951,0.13188976049423218,0.4297244131565094,0.0
0,2013-11-17,"26.63, 86.73",100,0.2751181,0.05905511975288391,0.2381889745593071,0.6177165389060972,0.0
0,2013-11-25,"26.63, 86.73",100,0.30818897,0.10590551309287548,0.2578740119934082,0.72125985622406,0.0
0,2013-12-03,"26.63, 86.73",100,0.31287402,0.10236220806837082,0.2775590419769287,0.7419291377067565,0.0
0,2013-12-11,"26.63, 86.73",100,0.6374672,0.10748031586408616,0.6673228144645691,1.0,16.0
0,2013-12-19,"26.63, 86.73",100,0.7071717,0.28267716914415364,0.6988189220428467,1.0,26.0
0,2013-12-27,"26.63, 86.73",100,0.60003877,0.29133859276771545,0.6220472455024719,0.7559055089950562,39.0
0,2013-12-27,"26.63, 86.73",100,0.60003877,0.29133859276771545,0.6220472455024719,0.7559055089950562,39.0
